@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 282\nSize of the tree: 537\n','Number of leaves: 260\nSize of the tree: 496\n','Number of leaves: 277\nSize of the tree: 527\n','Number of leaves: 271\nSize of the tree: 512\n','Number of leaves: 257\nSize of the tree: 487\n','Number of leaves: 248\nSize of the tree: 471\n','Number of leaves: 233\nSize of the tree: 445\n','Number of leaves: 250\nSize of the tree: 475\n','Number of leaves: 264\nSize of the tree: 499\n','Number of leaves: 245\nSize of the tree: 464\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

FAS,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251201.1941,3600,400,315,85,0,78.75,21.25,0,0.664277,0.175527,0.358173,41.516707,77.88271,604.787718,45312.318531,-44707.530812,1.511969,113.280796,-111.768827,382.224766,0.955562,63.199823,0.839779,152,0.146119,32,0.853881,187,0.160221,29,0.826087,0.839779,0.832877,0.692743,0.843033,0.758534,0.7875,0.119023,0.880977,0.2125,0.786695,0.7875,0.787047,0.669586,0.818748,0.699055,0.765996,0.7875,0.064,0.001,0.0625,0,62.5,0,97711,798279,91079,85.75,58.25,'Number of leaves: 245\nSize of the tree: 464\n',464,245,245,?
FAS,1,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20251201.1941,3600,400,325,75,0,81.25,18.75,0,0.70062,0.20839,0.308539,49.333588,67.157421,603.597757,318.090606,285.50715,1.508994,0.795227,0.713768,350.275904,0.87569,58.031346,0.862637,157,0.155963,34,0.844037,184,0.137363,25,0.82199,0.862637,0.841823,0.70452,0.915024,0.889696,0.8125,0.116241,0.883759,0.1875,0.812163,0.8125,0.811083,0.702466,0.912077,0.861702,0.797646,0.8125,0.779,0.009,0.78125,0.015625,781.25,15.625,6983094,798279,91079,97.75,81,?,?,?,?,-1
FAS,1,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20251201.1941,3600,400,335,65,0,83.75,16.25,0,0.738362,0.202793,0.29432,48.008458,64.06251,603.597757,287.433151,316.164606,1.508994,0.718583,0.790412,360.140614,0.900352,59.665665,0.901099,164,0.174312,38,0.825688,180,0.098901,18,0.811881,0.901099,0.854167,0.723874,0.929869,0.920638,0.8375,0.110963,0.889037,0.1625,0.841713,0.8375,0.835926,0.740481,0.932497,0.894548,0.82682,0.8375,0.773,0.008,0.78125,0,781.25,0,7039852,798279,91079,98.25,81.833333,?,?,?,?,-1
FAS,1,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20251201.1941,3600,400,316,84,0,79,21,0,0.659474,0.233707,0.336468,55.326961,73.236537,603.597757,370.154379,233.443378,1.508994,0.925386,0.583608,310.083798,0.775209,51.37259,0.884615,161,0.192661,42,0.807339,176,0.115385,21,0.793103,0.884615,0.836364,0.689224,0.899662,0.852806,0.79,0.137135,0.862865,0.21,0.792302,0.79,0.783116,0.668408,0.87701,0.806767,0.756408,0.79,0.771,0.007,0.78125,0,781.25,0,6830408,798279,91079,97.5,83.75,?,?,?,?,-1
FAS,1,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20251201.1941,3600,400,328,72,0,82,18,0,0.712913,0.210353,0.306149,49.779963,66.609606,603.977757,1379.135027,-775.15727,1.509944,3.447838,-1.937893,348.292421,0.870731,57.666432,0.872928,158,0.136986,30,0.863014,189,0.127072,23,0.840426,0.872928,0.856369,0.733936,0.925541,0.889722,0.82,0.108292,0.891708,0.18,0.818775,0.82,0.817973,0.717223,0.916764,0.869194,0.799595,0.82,0.776,0.01,0.78125,0,781.25,0,6968510,798279,91079,98,82.333333,?,?,?,?,-1
FAS,1,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20251201.1941,3600,400,309,91,0,77.25,22.75,0,0.637883,0.233714,0.340278,55.308333,74.035179,603.977757,371.685337,232.29242,1.509944,0.929213,0.580731,315.257266,0.788143,52.196834,0.850829,154,0.173516,38,0.826484,181,0.149171,27,0.802083,0.850829,0.825737,0.674789,0.878516,0.846195,0.7725,0.133783,0.866217,0.2275,0.770316,0.7725,0.770745,0.643135,0.876705,0.808171,0.749619,0.7725,0.765,0.007,0.765625,0.015625,765.625,15.625,6870023,798279,91079,98,83.166667,?,?,?,?,-1
FAS,1,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20251201.1941,3600,400,337,63,0,84.25,15.75,0,0.748184,0.208046,0.298247,49.233968,64.890341,603.977757,298.362318,305.615439,1.509944,0.745906,0.764039,357.413267,0.893533,59.176561,0.883978,160,0.141553,31,0.858447,188,0.116022,21,0.837696,0.883978,0.860215,0.739817,0.924771,0.882631,0.8425,0.102013,0.897987,0.1575,0.844611,0.8425,0.841432,0.749104,0.922708,0.870806,0.833174,0.8425,0.764,0.007,0.71875,0.015625,718.75,15.625,6943404,798279,91079,98.75,84.75,?,?,?,?,-1
FAS,1,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20251201.1941,3600,400,310,90,0,77.5,22.5,0,0.636734,0.226193,0.335355,53.500374,72.920941,604.787718,367.349303,237.438415,1.511969,0.918373,0.593596,322.17257,0.805431,53.270356,0.850829,154,0.187215,41,0.812785,178,0.149171,27,0.789744,0.850829,0.819149,0.660819,0.881884,0.842581,0.775,0.144303,0.855697,0.225,0.780876,0.775,0.768729,0.645358,0.88252,0.815945,0.744823,0.775,0.768,0.006,0.765625,0,765.625,0,6875268,798279,91079,97.75,82.833333,?,?,?,?,-1
FAS,1,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20251201.1941,3600,400,335,65,0,83.75,16.25,0,0.73798,0.213182,0.302521,50.422967,65.781483,604.787718,2447.656968,-1842.86925,1.511969,6.119142,-4.607173,346.358243,0.865896,57.269391,0.933702,169,0.16895,37,0.83105,182,0.066298,12,0.820388,0.933702,0.873385,0.761636,0.931053,0.905169,0.8375,0.106665,0.893335,0.1625,0.838494,0.8375,0.832984,0.746192,0.919621,0.876427,0.810812,0.8375,0.764,0.01,0.765625,0,765.625,0,6946145,798279,91079,97.75,83.083333,?,?,?,?,-1
FAS,1,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20251201.1941,3600,400,317,83,0,79.25,20.75,0,0.667561,0.226456,0.323242,53.562628,70.287111,604.787718,337.995363,266.792355,1.511969,0.844988,0.666981,326.936948,0.817342,54.058133,0.861878,156,0.178082,39,0.821918,180,0.138122,25,0.8,0.861878,0.829787,0.680916,0.906014,0.871338,0.7925,0.1321,0.8679,0.2075,0.79462,0.7925,0.790592,0.670659,0.900289,0.842969,0.77841,0.7925,0.774,0.009,0.765625,0.015625,765.625,15.625,6888797,798279,91079,98.25,84.333333,?,?,?,?,-1
FAS,1,10,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20251201.1941,3600,400,320,80,0,80,20,0,0.679522,0.213578,0.316808,50.516689,68.888173,604.787718,328.812612,275.975106,1.511969,0.822032,0.689938,341.08961,0.852724,56.398237,0.889503,161,0.150685,33,0.849315,186,0.110497,20,0.829897,0.889503,0.858667,0.735808,0.931179,0.920607,0.8,0.119459,0.880541,0.2,0.796276,0.8,0.795185,0.68842,0.911633,0.859507,0.766594,0.8,0.76,0.009,0.75,0.015625,750,15.625,6938452,798279,91079,98.25,82,?,?,?,?,-1
